"holder","licenses","mining_lics","hectares","main_commodities","score"
"Golden Flame International  Company Limited","4","0","45722","Copper/Cobalt/Gold","8.66012352761458"
"Grand Seven Limited","4","0","42652","Quartz/Copper/Cobalt","8.62994157444589"
"Cherish Minerals Zambia Limited","4","0","42246","Gold/Nickel/Silver","8.62578082880627"
"GOLD STONE MINING LIMITED","4","0","41678","Quartz/Zinc/Nickel","8.61990913150969"
"Cibakent Lithium Technology Limited","4","0","41469","Gold/Copper/Cobalt","8.61772812150427"
"Together Resources Limited","4","0","41417","Zinc/Iron Ore/Lead","8.61717450338978"
"Famagusta Mining Corporation Limited","4","0","40623","Manganese/Iron Ore/Mica","8.60876891704018"
"Abege Investments Limited","4","0","40400","Copper/Gold/Cobalt","8.60638495340019"
"Blue Copper Mining Limited","2","1","4034","Iron Ore/Manganese/Copper","8.60571520141567"
"Goldline Mining Limited","4","0","39508","Silver/Copper/Cobalt","8.59668578159818"
"Silver Pearl Motors Limited","5","0","3712","Gold/Copper/Cobalt","8.56961904706267"
"Bespoke Mining Limited","4","0","37008","Gold/Copper/Manganese","8.56829767963476"
"Lucky crystal investments Limited","4","0","36896","Copper/Cobalt/Amethyst","8.56698239191079"
"Galnet Construction Limited","5","0","3603","Copper/Cobalt/Manganese","8.55668716353138"
"Phyllite Resources Limited","5","0","3585","Gold/Copper/Cobalt","8.55449837882092"
"Aeolus International Corporation Zambia Limited","4","0","35604","Coal/Gold/Copper","8.55149630886235"
"MM Homes Management Limited","4","0","34473","Manganese/Lead/Copper","8.53747333207464"
"Rajeev Minerals Limited","4","0","34360","Limestone (General)/Iron Ore/Molding","8.53604765566195"
