"holder","segment","hectares","licenses","mining_lics","main_commodities","lics_in_default_2025","status"
"Interprochan Enterprises Limited","critical_battery","53108","1","0","Nickel/Silver/Zinc","0","never_researched"
"HOTA MINING COMPANY LIMITED","gemstones","52900","1","0","Silver/Rare EarthsElements/Quartz","0","never_researched"
"Nova Capital Solutions Limited","gemstones","52295","1","0","Gravel/Iron Ore/Gold","0","never_researched"
"Chibaris International (Zambia) Limited","gemstones","52051","2","0","Quartz/Palladium/Niobium (Columbium)","1","researched_no_channel"
"OOLITIC INVESTMENTS LIMITED","gemstones","51686","4","0","Gold/Copper/Zinc","0","researched_no_channel"
"TAAZ MINING LIMITED","critical_battery","51653","2","0","Nickel/Zinc/Gold","0","researched_no_channel"
"Auroma Mining and Minerals Zambia Limited","gemstones","51363","4","0","Iron Ore/Manganese/Gold","0","researched_no_channel"
"Zambia Investments Connections Limited","gold","51300","1","0","Gold/Copper/Cobalt","0","researched_no_channel"
"Pridegems Mines Limited","gemstones","51091","3","2","Emerald/Copper/Gold","1","researched_no_channel"
"Kawachi Minerals Limited","gemstones","50997","3","0","Manganese/Gold/Copper","0","researched_no_channel"
"Constantinou Menelaos Agathoklis Mining Company Limited","gold","50978","3","0","Gold/Copper/Cobalt","3","researched_no_channel"
"Digital African Company Limited","gemstones","50964","2","0","Iron Ore/Manganese/Gold","0","researched_no_channel"
"LOBITO RESOURCES LIMITED","gemstones","50657","1","0","Garnet/Gemstones/Feldspar","0","never_researched"
"Golden Baobab Investments Limited","gemstones","50626","5","0","Copper/Gold/Cobalt","3","researched_no_channel"
"Danita Import and Export Logistics Limited","critical_battery","50152","4","0","Iron Ore/Manganese/Copper","4","researched_no_channel"
"CHADIZA MINERAL RESOURCES LIMITED","critical_battery","50079","4","0","Gold/Copper/Cobalt","2","researched_no_channel"
"Mwekuna Estate Limited","critical_battery","49764","2","0","Iron Ore/Manganese/Gold","2","researched_no_channel"
"Dason Zambia Limited","gemstones","49731","3","2","Gold/Copper/Cobalt","1","researched_no_channel"
"Unene Trading Limited","critical_battery","49669","2","0","Manganese/Copper/Cobalt","2","researched_no_channel"
"Hammer-Land Construction and Mining Limited","gemstones","49225","4","0","Iron Ore/Coal/Lead","0","researched_no_channel"
"Bountiful Blessing Investments Limited","critical_battery","49058","2","2","Gold/Nickel/Copper","0","researched_no_channel"
"Chikaban Corporation Zambia Limited","critical_battery","48918","1","0","Iron Ore/Manganese/Gold","0","never_researched"
"Innovative Mining Limited","critical_battery","48880","1","0","Titanium/Nickel/Zinc","0","never_researched"
"Fifty Nine Investments Limited","critical_battery","48290","2","0","Gold/Manganese/Cobalt","1","researched_no_channel"
"Intergration Zambia Limited","gemstones","48235","1","0","Manganese/Iron Ore/Platinum","1","never_researched"
"Mwenshi Resources Limited","critical_battery","48217","2","0","Nickel/Quartz/Zinc","0","researched_no_channel"
"SILVER JACKET GENERAL DEALERS LIMITED","critical_battery","48061","3","0","Iron Ore/Manganese/Copper","2","researched_no_channel"
"P & C PRACH INVESTMENTS ZAMBIA LIMITED","critical_battery","48014","1","0","Iron Ore/Manganese/Zinc","0","researched_no_channel"
"Siraj Solutions Company Limited","gemstones","47951","5","0","Copper/Cobalt/Gold","0","researched_no_channel"
"Hemings Investments Limited","critical_battery","47808","3","0","Copper/Cobalt/Silver","2","researched_no_channel"
"Magnum Gulf Resources (Zambia) Limited","critical_battery","47698","2","0","Manganese/Limestone (General)/Dolomite","0","researched_no_channel"
"TCB Mines & Minerals Limited","gemstones","47659","3","0","Lead/Gold/Tourmaline","0","researched_no_channel"
"Kafue Copper Limited","gemstones","47544","4","0","Copper/Silver/Cobalt","1","researched_no_channel"
"Supernova Mining and Exploration Limited","critical_battery","47478","1","0","Nickel/Rare EarthsElements/Uranium","0","never_researched"
"MAKOOLA RESOURCES LIMITED","gemstones","46834","2","0","Emerald/Manganese/Nickel","0","researched_no_channel"
"Omex Mining(ZAMBIA) Limited","critical_battery","46639","3","0","Gold/Zinc/Cobalt","2","researched_no_channel"
"Navratan Enterprise Limited","critical_battery","46605","1","0","Nickel/Manganese/Silver","0","never_researched"
"Fontainebleau Zambia Limited","gemstones","46242","5","0","Gold/Nickel/Zinc","0","researched_no_channel"
"Zman Zambia Limited","gemstones","46116","4","0","Cobalt/Copper/Gold","0","researched_no_channel"
"Salman mining Enterprises Limited","gemstones","46115","4","1","Silver/Nickel/Platinum Group Metals","4","researched_no_channel"
"SUNRIDGE ENERGIES LIMITED","gemstones","46106","2","0","Copper/Sugilite/Tourmaline","0","researched_no_channel"
"BuildFreca Construction Limited","critical_battery","45791","1","0","Gold/Nickel/Cobalt","1","never_researched"
"UNI METALS AND MINERALS LIMITED","critical_battery","45772","3","0","Lead/Tin/Manganese","0","researched_no_channel"
"Golden Flame International  Company Limited","critical_battery","45722","4","0","Copper/Cobalt/Gold","0","researched_no_channel"
"JFS Resources Limited","gold","45706","2","0","Silver/Gold","1","researched_no_channel"
"GANUNA MINERALS LIMITED","gold","45429","1","0","Quartz/Zinc/Gold","0","never_researched"
"Mulundu Holdings Limited","critical_battery","45149","3","0","Rare EarthsElements/Manganese/Zinc","2","researched_no_channel"
"CORE LODE INVESTMENTS LIMITED","gemstones","44689","5","0","Emerald/Gold/Nickel","0","researched_no_channel"
"Musenga Mining Zambia Limited","gold","44644","2","0","Iron Ore/Copper/Gold","0","researched_no_channel"
"Meridian Mining & Exploration Limited","gemstones","44322","1","0","Gold/Lithium/Manganese","0","researched_no_channel"
"Drift Mining Limited","gold","43964","1","0","Gold/Silver/Cobalt","1","never_researched"
"Aquilagreen Resource Limited","critical_battery","43625","3","0","Copper/Gold/Nickel","1","researched_no_channel"
"Matsimu Investment Limited","critical_battery","43617","1","0","Tin/Tantalum","1","never_researched"
"Lusan Indusries Ltd","gemstones","43555","2","0","Gold/Iron Ore/Cobalt","0","researched_no_channel"
"Far-North Enterprise Limited","critical_battery","43433","2","0","Manganese/Silver/Cobalt","0","researched_no_channel"
"Zahori Company Limited","gemstones","43226","3","0","Lead/Quartz/Rare EarthsElements","1","researched_no_channel"
"Ngucha Energy Corporation Limited","critical_battery","42726","1","0","Nickel/Manganese/Platinum","1","never_researched"
"Trade Zone Limited","critical_battery","42662","3","0","Anhydrite/Gypsum/Talc-Soapstone","2","researched_no_channel"
"Grand Seven Limited","gemstones","42652","4","0","Quartz/Copper/Cobalt","4","researched_no_channel"
"Zambian United Mining Corporation Limited","critical_battery","42623","2","0","Manganese/Lead/Zinc","1","researched_no_channel"
