"holder","declared_business","business_class","name_contradicts_declaration","entity_number","registration_date","hectares","licenses","mining_lics","main_commodities","beneficial_owner_declared","annual_return_filed","lics_in_default_2025"
"P & C PRACH INVESTMENTS ZAMBIA LIMITED","Support activities for other mining and quarrying","mining_related","no","120130117352","19/11/2013","48014","1","0","Iron Ore/Manganese/Zinc","0","0","0"
"Magnum Gulf Resources (Zambia) Limited","Mining of other non-ferrous metal ores","mining_related","no","220220000172","02/05/2022","47698","2","0","Manganese/Limestone (General)/Dolomite","1","1","0"
"TCB Mines & Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120241004909","10/04/2024","47659","3","0","Lead/Gold/Tourmaline","1","0","0"
"Supernova Mining and Exploration Limited","Other mining and quarrying n.e.c.","mining_related","no","120220041026","26/10/2022","47478","1","0","Nickel/Rare EarthsElements/Uranium","1","1","0"
"MAKOOLA RESOURCES LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120230060398","29/11/2023","46834","2","0","Emerald/Manganese/Nickel","1","0","0"
"Omex Mining(ZAMBIA) Limited","Support activities for other mining and quarrying","mining_related","no","120230061616","28/12/2023","46639","3","0","Gold/Zinc/Cobalt","1","0","2"
"Fontainebleau Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120230058762","27/10/2023","46242","5","0","Gold/Nickel/Zinc","1","0","0"
"Salman mining Enterprises Limited","Other mining and quarrying n.e.c.","mining_related","no","120200001834","03/03/2020","46115","4","1","Silver/Nickel/Platinum Group Metals","1","0","4"
"DAS Overseas Limited","Other mining and quarrying n.e.c.","mining_related","no","120210012179","26/01/2021","45831","3","2","Manganese/Tin/Zinc","0","0","2"
"UNI METALS AND MINERALS LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120220036058","14/07/2022","45772","3","0","Lead/Tin/Manganese","1","0","0"
"JFS Resources Limited","Other mining and quarrying n.e.c.","mining_related","no","120210016662","31/05/2021","45706","2","0","Silver/Gold","1","0","1"
"GANUNA MINERALS LIMITED","Other mining and quarrying n.e.c.","mining_related","no","120241005778","26/04/2024","45429","1","0","Quartz/Zinc/Gold","1","0","0"
"Chirundu Joint Venture Zambia Limited","Support activities for other mining and quarrying","mining_related","no","120080073553","02/07/2008","45312","2","1","Uranium/Coal","1","1","2"
"Copernicus Minerals Limited","Other mining and quarrying n.e.c.","mining_related","no","120241003440","06/03/2024","44858","3","0","Lead/Nickel/Zinc","1","1","3"
"CORE LODE INVESTMENTS LIMITED","Mining of other non-ferrous metal ores","mining_related","no","120241000974","22/01/2024","44689","5","0","Emerald/Gold/Nickel","1","0","0"
"Musenga Mining Zambia Limited","Other mining and quarrying n.e.c.","mining_related","no","120241015922","18/11/2024","44644","2","0","Iron Ore/Copper/Gold","1","1","0"
"Muchinga Energy Resources Limited","Support activities for other mining and quarrying","mining_related","no","120110091383","01/04/2011","44327","2","1","Uranium/Coal","1","1","2"
"Meridian Mining & Exploration Limited","Mining of other non-ferrous metal ores","mining_related","no","120160007151","05/10/2016","44322","1","0","Gold/Lithium/Manganese","0","0","0"
"Drift Mining Limited","Mining of other non-ferrous metal ores","mining_related","no","120220036634","26/07/2022","43964","1","0","Gold/Silver/Cobalt","1","0","1"
