"entity_id","company_as_published","mine","commodity","year","volume","unit","source"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2021","62345","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2022","67558","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"NFCA","NFC Africa Mining Plc (100%)",,"Copper","2023","68761","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"OTHER_MINES","Other mines",,"Copper","2023","29824","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2018","9498","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2019","11070","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2020","13088","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2021","15266","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2022","13537","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"SINO_METALS","Sino-Metals Leach Zambia Limited (100%)",,"Copper","2023","12925","tonnes","https://portal.zambiaeiti.org/ (Zambia EITI Fusion portal; dataset via POST https://zambia-onlinefusion-server.revenuedev.org/api/dashboards/data) dataset 'Copper Production by Company and Year (2018-2023)' (sum of 12 monthly values)"
"CCS","Chambishi Copper Smelter Limited",,"Copper","2023","216847.35","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"CNMC_LUANSHYA","CNMC Luanshya Copper Mines",,"Copper","2023","51042.55","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"FQM_TRIDENT","FQM Trident","Sentinel","Copper","2023","214046.1","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"KCM","Konkola Copper Mines",,"Copper","2023","36055.88","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"LUBAMBE","Lubambe","Lubambe","Copper","2023","15495","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"LUMWANA","Lumwana","Lumwana","Copper","2023","118001.15","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
"MOPANI","Mopani",,"Copper","2023","65206.62","tonnes","https://zambiaeiti.org/wp-content/uploads/2025/11/Copper-Production-Value.xlsx (ZEITI 'Copper Production by Company 2023', sheet 'Sheet3')"
