"commodity","hs_code","year","volume","unit","value_usd","value_zmw","customs_transactions","source"
"Copper concentrate, Sulphide",,"2024","1900","Dry metric tonnes","3506208.54",,"5","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Unwrought gold (incl. gold plated with platinum), non-monetary",,"2024","41.86","Kilogram","3295907.59",,"10","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Mixed sulphide and oxide",,"2024","11000","Dry metric tonnes","3243233.26",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Agglomerated iron ores and concentrates",,"2024","5000","Dry metric tonnes","2740677.5",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"other Zinc concentrates",,"2024","3500004","Kilogram","2654498.37",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Cobalt concentrate",,"2024","800","Dry metric tonnes","2274589.14",,"4","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper ore, Sulphide",,"2024","4766.09","Metric ton (1000 kg)","1828749.2",,"8","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Silver ores and concentrates",,"2024","500","Metric ton (1000 kg)","1342042.23",,"1","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Aluminium alloys, unwrought",,"2024","501000","Kilogram","1293522.23",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Copper, refined, unwrought, excl. copper in the form of billets, wire-bars, cathodes",,"2024","272000","Kilogram","1230666.49",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Cobalt ore",,"2024","2100","Dry metric tonnes","989636.66",,"3","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
"Niobium, tantalum and vanadium ores and concentrates",,"2024","55","Metric ton (1000 kg)","908378.63",,"2","https://zambiaeiti.org/wp-content/uploads/2025/11/2024-Online-Minerals-Report.xlsx (sheet 'Export Worksheet', aggregated by product description and unit)"
